
============================================================
[AUTO-GA] Starting: exp_same_equal_v2
Command: C:\Users\perve\AppData\Local\Programs\Python\Python313\python.exe C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\ga_experiment.py --runs 10 --total-time 5100.0 --time-buffer 0 --population-size 50 --mutation-rate 0.30 --stagnation-limit 20 --min-runtime-before-stop 0 --max-instance-time 300.0 --clean-output --experiment-name exp_same_equal_v2 --profile single --time-profile equal
============================================================
Run 2 | uk_tv_input.json | time=300.0s | left=4807.0s
Run 2 | usa_tv_input.json | time=300.0s | left=4796.6s
Run 2 | us_iptv.json | time=300.0s | left=4760.1s
Run 2 | youtube_gold.json | time=300.0s | left=4521.2s
Run 2 | youtube_premium.json | time=300.0s | left=4500.9s
Run 3 | australia_iptv.json | time=300.0s | left=5100.0s
Run 3 | canada_pw.json | time=300.0s | left=5099.1s
Run 3 | china_pw.json | time=300.0s | left=5098.3s
Run 3 | croatia_tv_input.json | time=300.0s | left=5093.7s
Run 3 | france_iptv.json | time=300.0s | left=5092.0s
Run 3 | germany_tv_input.json | time=300.0s | left=5013.4s
Run 3 | kosovo_tv_input.json | time=300.0s | left=5012.4s
Run 3 | netherlands_tv_input.json | time=300.0s | left=5011.2s
Run 3 | singapore_pw.json | time=300.0s | left=5009.9s
Run 3 | spain_iptv.json | time=300.0s | left=5005.4s
